State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,formattedState,formattedCounty
Alabama,autauga,55036.0,26899.0,28137.0,1.3389581364924776,1.5861854059161278,0.5377716403808416,0.1900374300457882,0.34145650119921506,41016.0,53567.5,11030.666666666664,26588.16666666667,4232.333333333333,13.756290428083437,20.065557089904797,34.803061632386076,18.29759248491896,23.29273384693655,8.19660404099135,15.410124282287958,85.87488552947163,9.538171378733919,0.06096373282942074,0.5861835889236137,1.3792772003779343,2.5439821207936624,25.76666666666667,24112.0,74.2292990042881,20.077085907406058,5.572329021004434,0.09598262955156624,5.128524965477141,alabama,autauga
Alabama,baldwin,203360.0,99527.0,103833.0,1.2615711054287964,2.8794890833988984,0.4354750196695515,0.11113542486231312,1.0073578874901654,155376.0,52732.22580645161,9527.032258064517,29130.70967741936,4430.677419354839,11.869655782848152,16.292170535011802,35.449596282454756,18.27632425255704,25.512684402045625,9.80496705350118,10.935321105428796,84.53421125098346,7.777040224232889,0.11077547206923684,0.8108467741935484,1.1615327498033043,5.6274193548387075,27.05483870967741,89527.0,80.54887932730134,13.032457218725414,6.354380409126673,0.06793764752163653,5.4937170535011814,alabama,baldwin
Alabama,barbour,26201.0,13976.0,12225.0,3.7914888744704407,3.4965039502309065,0.20720583183847946,0.016377237510018704,0.5066905843288424,20269.0,32717.777777777777,8130.88888888889,17891.666666666668,2720.1111111111113,26.86798977138277,44.73089195068889,24.865154001755663,16.96129537040571,22.277733674287237,11.904186863096829,23.98756154345254,83.24382657150494,11.156055112400288,0.2982367085225755,2.365802831952979,1.6937750467539403,1.2444792183504447,22.74444444444445,8878.0,73.8806381435823,19.404469295065073,6.434678065722682,0.28975993282699136,12.302129689706499,alabama,barbour
Alabama,bibb,22580.0,12251.0,10329.0,0.03854738706820195,0.7540699734278122,0.09347209920283438,0.03854738706820195,1.4896944198405668,17662.0,44677.0,8099.5,21799.0,4151.0,14.916031886625333,24.82044729849424,23.93508414526129,17.74490699734278,19.2174047829938,16.322271922054913,22.7194995571302,86.36722763507528,9.433627103631533,0.6298804251550044,0.31462798937112485,1.8545704162976084,1.438108945969885,31.200000000000006,8171.0,75.9260363153233,17.528033658104516,6.171368467670505,0.3745615589016829,7.861479185119577,alabama,bibb
Alabama,blount,57667.0,28490.0,29177.0,0.8124022404494772,8.202833509632892,0.2885220316645569,0.07134756446494528,0.4088837636776666,42513.0,46325.555555555555,7420.88888888889,21598.44444444444,2515.333333333333,15.604949104340438,25.19101045658695,28.101461841261035,12.823914890665375,23.533143739053532,15.948481800683231,19.59368442956977,86.84156970190925,10.123661712938077,0.1319662892122011,0.4154785232455304,0.3703452581198952,2.116227651863284,35.0111111111111,21380.0,83.93858185790833,11.88729949537864,3.9837463367263775,0.1429535089392547,4.936409038098046,alabama,blount
Alabama,bullock,10478.0,5616.0,4862.0,0.0,0.0,0.3211299866386715,0.0,0.0,8212.0,31232.0,6784.666666666668,20148.666666666668,3745.666666666666,28.627867913724,47.778182859324296,19.45432334414965,17.502977667493795,18.245810269135326,13.910059171597636,30.901030731055545,72.67497614048483,16.158598969268944,0.22594006489788124,6.212616911624355,1.7054972322962398,3.0223706814277533,30.83333333333333,4290.0,81.54256537507159,13.90530635617484,4.512807787745753,0.0,11.807577782019468,alabama,bullock
Alabama,butler,20126.0,9416.0,10710.0,0.06810593262446586,0.33706151247143,0.0,0.0,0.0,15459.0,36667.22222222222,9707.444444444445,19673.55555555556,2865.555555555556,24.456812083871608,34.30566928351386,26.39401271986485,18.21641160687668,18.682510185829273,11.262302494286,25.46058829374937,83.27693033886516,12.928778694226375,0.0,0.8963480075524196,0.8512620490907284,2.0224883235615625,23.58888888888889,7727.0,79.15121733081588,15.022339262645335,5.407020769154327,0.4060319984100169,8.049865845175393,alabama,butler
Alabama,calhoun,115519.0,55589.0,59930.0,1.3756204607034341,2.3489702992581303,0.6073650222041397,0.10028480163436317,0.5123754533886201,88375.0,40270.357142857145,7175.714285714284,22099.857142857138,3565.0,19.136227806681152,26.88051143102001,28.270613492152805,17.739615993905765,23.851718764878502,10.37782096451666,19.769416286498323,84.62770020516105,9.517032695920154,0.25476674832711504,1.3301560782208983,1.1280092452323862,3.133248210251128,24.067857142857147,47392.0,75.26768150693826,19.6086072420987,4.994954076818533,0.12852777465178888,10.294442472666832,alabama,calhoun
Alabama,chambers,33895.0,16320.0,17575.0,0.7522997492255494,1.0787903820622509,0.01885823867827113,0.7307980528101491,0.3205900575306092,26259.0,36915.55555555556,8395.666666666666,22467.88888888889,4200.0,18.819179820032453,29.88035993509367,24.27850125387225,13.73722082903083,22.482584451984067,11.672733441510546,27.85663077150022,86.72795987608791,9.91677533559522,0.1697241481044402,0.6871721492845553,0.4640359935093672,2.0109337660421893,23.37777777777778,14527.0,84.43646555539165,11.789290455819442,3.720737571913262,0.01078330137188376,6.460988346363771,alabama,chambers
Alabama,cherokee,25855.0,12862.0,12993.0,0.23432991684393736,1.0655540514407271,0.0,0.0,0.518004254496229,20620.0,39736.0,7965.333333333332,22905.16666666667,3290.333333333333,16.16557339005995,20.181299555211762,29.037342873718814,15.060642042158193,17.87747824405338,11.830585960162447,26.191429123960546,85.33704505898278,11.717555598530266,0.40249468187971377,0.2939083349448849,0.26872945271707604,1.9777451169986464,26.36666666666667,9879.0,74.85371108102882,17.126923225681686,8.046849738928639,0.0,5.324997099207116,alabama,cherokee
