State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Alabama,autauga,55036.0,26899.0,28137.0,1.3389581364924776,1.5861854059161278,0.5377716403808416,0.1900374300457882,0.341456501199215,41016.0,53567.5,11030.666666666666,26588.166666666668,4232.333333333333,13.756290428083437,20.065557089904793,34.803061632386076,18.29759248491896,23.29273384693655,8.19660404099135,15.410124282287958,85.87488552947163,9.538171378733919,0.06096373282942074,0.5861835889236137,1.3792772003779343,2.5439821207936624,25.76666666666667,24112.0,74.2292990042881,20.07708590740606,5.572329021004434,0.09598262955156625,5.128524965477142
Alabama,baldwin,203360.0,99527.0,103833.0,1.2615711054287964,2.8794890833988984,0.43547501966955154,0.11113542486231313,1.0073578874901654,155376.0,52732.22580645161,9527.032258064517,29130.709677419356,4430.677419354839,11.869655782848152,16.292170535011806,35.44959628245476,18.27632425255704,25.51268440204563,9.80496705350118,10.935321105428796,84.53421125098347,7.777040224232888,0.11077547206923684,0.8108467741935484,1.1615327498033043,5.627419354838708,27.054838709677412,89527.0,80.54887932730135,13.032457218725416,6.354380409126672,0.06793764752163652,5.493717053501181
Alabama,barbour,26201.0,13976.0,12225.0,3.7914888744704407,3.496503950230907,0.20720583183847946,0.016377237510018704,0.5066905843288424,20269.0,32717.777777777777,8130.888888888889,17891.666666666668,2720.1111111111113,26.867989771382774,44.7308919506889,24.86515400175566,16.96129537040571,22.277733674287237,11.904186863096827,23.98756154345254,83.24382657150493,11.15605511240029,0.2982367085225755,2.365802831952979,1.6937750467539405,1.2444792183504447,22.744444444444447,8878.0,73.8806381435823,19.404469295065073,6.434678065722682,0.28975993282699136,12.302129689706499
Alabama,bibb,22580.0,12251.0,10329.0,0.03854738706820195,0.7540699734278122,0.09347209920283438,0.03854738706820195,1.489694419840567,17662.0,44677.0,8099.5,21799.0,4151.0,14.916031886625332,24.82044729849424,23.935084145261293,17.74490699734278,19.2174047829938,16.322271922054917,22.719499557130202,86.36722763507528,9.433627103631531,0.6298804251550044,0.31462798937112485,1.8545704162976084,1.438108945969885,31.200000000000003,8171.0,75.92603631532329,17.528033658104516,6.171368467670505,0.3745615589016829,7.861479185119576
Alabama,blount,57667.0,28490.0,29177.0,0.8124022404494772,8.202833509632892,0.28852203166455687,0.07134756446494528,0.4088837636776666,42513.0,46325.555555555555,7420.888888888889,21598.444444444445,2515.3333333333335,15.60494910434044,25.191010456586955,28.101461841261035,12.823914890665371,23.533143739053532,15.948481800683231,19.59368442956977,86.84156970190925,10.123661712938075,0.1319662892122011,0.4154785232455304,0.3703452581198952,2.116227651863284,35.0111111111111,21380.0,83.93858185790833,11.88729949537864,3.9837463367263775,0.1429535089392547,4.936409038098046
Alabama,bullock,10478.0,5616.0,4862.0,0.0,0.0,0.3211299866386715,0.0,0.0,8212.0,31232.0,6784.666666666667,20148.666666666668,3745.6666666666665,28.627867913723993,47.778182859324296,19.454323344149646,17.502977667493795,18.24581026913533,13.910059171597634,30.901030731055545,72.67497614048483,16.158598969268944,0.22594006489788124,6.212616911624355,1.7054972322962398,3.0223706814277533,30.833333333333332,4290.0,81.54256537507158,13.905306356174842,4.512807787745753,0.0,11.807577782019468
Alabama,butler,20126.0,9416.0,10710.0,0.06810593262446586,0.33706151247142996,0.0,0.0,0.0,15459.0,36667.22222222222,9707.444444444445,19673.555555555555,2865.5555555555557,24.456812083871608,34.30566928351386,26.394012719864847,18.216411606876676,18.682510185829273,11.262302494285999,25.460588293749375,83.27693033886516,12.928778694226374,0.0,0.8963480075524196,0.8512620490907284,2.0224883235615625,23.58888888888889,7727.0,79.15121733081587,15.022339262645334,5.407020769154327,0.4060319984100169,8.049865845175393
Alabama,calhoun,115519.0,55589.0,59930.0,1.375620460703434,2.3489702992581303,0.6073650222041397,0.10028480163436317,0.5123754533886201,88375.0,40270.357142857145,7175.714285714285,22099.85714285714,3565.0,19.136227806681152,26.880511431020008,28.270613492152805,17.739615993905765,23.851718764878502,10.37782096451666,19.769416286498323,84.62770020516105,9.517032695920154,0.25476674832711504,1.3301560782208985,1.1280092452323862,3.1332482102511277,24.067857142857143,47392.0,75.26768150693826,19.6086072420987,4.994954076818532,0.12852777465178888,10.294442472666832
Alabama,chambers,33895.0,16320.0,17575.0,0.7522997492255494,1.0787903820622509,0.018858238678271133,0.730798052810149,0.3205900575306092,26259.0,36915.555555555555,8395.666666666666,22467.88888888889,4200.0,18.819179820032453,29.880359935093672,24.278501253872253,13.737220829030832,22.482584451984067,11.672733441510548,27.85663077150022,86.72795987608792,9.91677533559522,0.1697241481044402,0.6871721492845553,0.46403599350936714,2.0109337660421893,23.37777777777778,14527.0,84.43646555539165,11.789290455819442,3.720737571913262,0.010783301371883759,6.460988346363771
Alabama,cherokee,25855.0,12862.0,12993.0,0.23432991684393736,1.0655540514407271,0.0,0.0,0.518004254496229,20620.0,39736.0,7965.333333333333,22905.166666666668,3290.3333333333335,16.16557339005995,20.18129955521176,29.037342873718817,15.060642042158191,17.87747824405338,11.830585960162447,26.191429123960546,85.33704505898278,11.717555598530266,0.40249468187971377,0.29390833494488494,0.268729452717076,1.9777451169986464,26.36666666666667,9879.0,74.85371108102882,17.126923225681686,8.046849738928639,0.0,5.324997099207116
